             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            182534     debug BHD_head schoudha PD       0:00      3 (PartitionTimeLimit)
            194652     debug       1a saurabh_  R      30:47      3 cn[107-109]
            194650     debug       1a saurabh_  R      47:22      3 cn[132-134]
            194651     debug     vasp ritika.i  R      23:54      3 cn[135-136],hm043
            186678       gpu finetune vibha_b. PD       0:00      1 (PartitionTimeLimit)
            186677       gpu finetune vibha_b. PD       0:00      1 (PartitionTimeLimit)
            186675       gpu finetune vibha_b. PD       0:00      2 (PartitionTimeLimit)
            194647       gpu data_pre yash_msc PD       0:00      2 (QOSGrpJobsLimit)
            194656       gpu data_pre yash_msc PD       0:00      2 (QOSGrpJobsLimit)
            194665       gpu class_fi shree_s. PD       0:00      1 (QOSGrpJobsLimit)
            194638       gpu 2train.s gaurav_k PD       0:00      1 (QOSGrpJobsLimit)
            194649       gpu 2train.s gaurav_k PD       0:00      1 (QOSGrpJobsLimit)
            194646       gpu 2train.s a_mahaja PD       0:00      1 (QOSGrpJobsLimit)
            194232       gpu n5_3thf_ abhiruch PD       0:00      1 (QOSGrpJobsLimit)
            194235       gpu   mgthf6 abhiruch PD       0:00      1 (QOSGrpJobsLimit)
            194287       gpu   mgthf6 abhiruch PD       0:00      1 (QOSGrpJobsLimit)
            194027       gpu 741b1e76 akansh1. PD       0:00      3 (QOSGrpJobsLimit)
            176734       gpu TFRY_gpu mithiles PD       0:00      1 (BadConstraints)
            176075       gpu     bash apoorva_ PD       0:00      1 (BadConstraints)
            194154       gpu   6_Fgmx swaritag  R   20:12:03      6 gpu[015-020]
            194655       gpu     bash m_goyal1  R       6:03      1 gpu001
            194279       gpu     bash kumar_d.  R   20:01:42      1 gpu014
            194375       gpu     bash shree_s.  R   12:25:19      1 gpu002
            194637       gpu 1train_t gaurav_k  R    1:03:41      1 gpu001
            194348       gpu     4.sh ashish_k  R   10:58:47      1 gpu003
            194351       gpu     5.sh ashish_k  R    9:00:49      1 gpu004
            194276       gpu     1.sh ashish_k  R   18:35:14      1 gpu006
            194242       gpu 2train.s a_mahaja  R    5:10:33      1 gpu008
            194230       gpu 2train.s a_mahaja  R    6:54:30      1 gpu008
            194353       gpu     bash apoorva_  R    3:25:31      1 gpu003
            194048       gpu     bash dharmend  R    3:09:23      1 gpu011
            194229       gpu 1train_t a_mahaja  R   10:36:39      1 gpu002
            194196       gpu     bash dharmend  R    2:25:58      1 gpu009
            194231       gpu n5_3thf_ abhiruch  R    1:22:41      1 gpu010
            194657 highmemor 7no2_con vivek_cy PD       0:00      2 (Nodes required for job are DOWN, DRAINED or reserved for jobs in higher priority partitions)
            194658 highmemor 7so3h_co vivek_cy PD       0:00      2 (Priority)
            194397 highmemor  DMP_new jyoti_b_ PD       0:00      5 (Priority)
            194399 highmemor      III jyoti_b_ PD       0:00      5 (Priority)
            194396 highmemor       bs jyoti_b_ PD       0:00      3 (Priority)
            194437 highmemor  VMP_new jyoti_b_ PD       0:00      5 (Priority)
            194440 highmemor      1bb jyoti_b_ PD       0:00      3 (Priority)
            194168 highmemor       p3 shweta_c PD       0:00      1 (Priority)
            194446 highmemor      S30 s_sahoo.  R    3:50:30      1 hm060
            194367 highmemor      644 neha_s.i  R    5:28:31     10 hm[031,040-042,047-048,075-078]
            194626 highmemor     1.sh akhilesh  R    1:30:46      1 hm046
            194393 highmemor   5wa420 tulika.m  R   10:49:43      1 hm058
            194467 highmemor h_BNS_O2 hrithik.  R    3:04:51      1 hm044
            194443 highmemor h_BNO_OH hrithik.  R    4:00:55      1 hm059
            194663 highmemor        S n_kumar2  R      12:46      3 hm[002-004]
            194205 highmemor        I puneet.i  R   22:26:53      1 hm011
            194204 highmemor        I puneet.i  R   22:38:23      1 hm009
            194654 highmemor        I puneet.i  R      37:12      1 hm010
            193783 highmemor   ph_Ga2 saumyar_  R   23:32:25      3 hm[023-025]
            194115 highmemor       p3 shweta_c  R   23:32:25      1 hm026
            139057     large     run2 prashans PD       0:00      2 (QOSMinCpuNotSatisfied)
            165159     large submit_j pawan_s. PD       0:00      1 (QOSMinCpuNotSatisfied)
            192567     large myscript abhale.i PD       0:00      1 (QOSMinCpuNotSatisfied)
            138844    medium test-run prashans PD       0:00      1 (QOSGrpJobsLimit)
            183328    medium ESRRA_WL apoorva_ PD       0:00      1 (QOSGrpJobsLimit)
            184559    medium ESRRA_WL apoorva_ PD       0:00      5 (QOSGrpJobsLimit)
            194249    medium     test s_sahoo. PD       0:00     11 (QOSGrpJobsLimit)
            194634    medium    ga_md maarish. PD       0:00     11 (QOSGrpJobsLimit)
